Species,Species_modified_from_WAHIS_FAO,host_class,host_order,host_family,host_gen_sp
Accipitridae (unidentified),Accipitridae_(unidentified),Aves,Accipitriformes,Accipitridae,
African black oystercatcher,African_black_oystercatcher,Aves,Charadriiformes,Haematopodidae,
African fish eagle,African_fish_eagle,Aves,Accipitriformes,Accipitridae,
African rock pigeon,African_rock_pigeon,Aves,Columbiformes,Columbidae,
American Black Duck,American_Black_Duck,Aves,Anseriformes,Anatidae,
American crow,American_crow,Aves,Passeriformes,Corvidae,
American wigeon,American_wigeon,Aves,Anseriformes,Anatidae,
Anatidae (unidentified),Anatidae_(unidentified),Aves,Anseriformes,Anatidae,
Anserinae (unidentified),Anserinae_(unidentified),Aves,Anseriformes,Anserinae,
Arctic Jaeger,Arctic_Jaeger,Aves,Charadriiformes,Stercorariidae,
Arctic Tern,Arctic_Tern,Aves,Charadriiformes,Laridae,
Ardeidae (unidentified),Ardeidae_(unidentified)_heron,Aves,Pelecaniformes,Ardeidae,
Armenian Gull,Armenian_Gull,Aves,Charadriiformes,Laridae,
Asian Openbill,Asian_Openbill,Aves,Ciconiiformes,Ciconiidae,
Bald Eagle,Bald_Eagle,Aves,Accipitriformes,Accipitridae,
Bank cormorant,Bank_cormorant,Aves,Suliformes,Phalacrocoracidae,
Bar-headed Goose,Bar-headed_Goose,Aves,Anseriformes,Anatidae,
Barn Owl (Common Barn-Owl),Barn_Owl_(Common_Barn-Owl),Aves,Strigiformes,Strigidae,
Barnacle Goose,Barnacle_Goose,Aves,Anseriformes,Anatidae,
Bean Goose,Bean_Goose,Aves,Anseriformes,Anatidae,
Bewick's Swan,Bewick's_Swan,Aves,Anseriformes,Anatidae,
Birds,Birds,Aves,Undetermined,Undetermined,
Black Kite,Black_Kite,Aves,Accipitriformes,Accipitridae,
Black Swan,Black_Swan,Aves,Anseriformes,Anatidae,
Black-crowned Night-Heron,Black-crowned_Night-Heron,Aves,Pelecaniformes,Ardeidae,
Black-faced spoonbill,Black-faced_spoonbill,Aves,Pelecaniformes,Threskiornithidae,
Black-headed Gull,Black-headed_Gull,Aves,Charadriiformes,Laridae,
Black-headed Heron,Black-headed_Heron,Aves,Pelecaniformes,Ardeidae,
Black-necked Grebe,Black-necked_Grebe,Aves,Podicepiformes,Podicipedidae,
Black-tailed Gull,Black-tailed_Gull,Aves,Charadriiformes,Laridae,
Blue crane,Blue_crane,Aves,Gruiformes,Gruidae,
Blue jay,Blue_jay,Aves,Passeriformes,Corvidae,
Bonelli's Eagle,Bonelli's_Eagle,Aves,Accipitriformes,Accipitridae,
Brent Goose,Brent_Goose,Aves,Anseriformes,Anatidae,
Broad-winged Hawk,Broad-winged_Hawk,Aves,Accipitriformes,Accipitridae,
Brown Pelican,Brown_Pelican,Aves,Pelecaniformes,Pelecanidae,
Brown skua,Brown_skua,Aves,Charadriiformes,Stercorariidae,
Budgerigar,Budgerigar,Aves,Psittaciformes,Psittacidae,
Bufflehead,Bufflehead,Aves,Anseriformes,Anatidae,
Cackling Goose,Cackling_Goose,Aves,Anseriformes,Anatidae,
Canada Goose,Canada_Goose,Aves,Anseriformes,Anatidae,
Cape cormorant,Cape_cormorant,Aves,Suliformes,Phalacrocoracidae,
Cape gannet,Cape_gannet,Aves,Suliformes,Sulidae,
Carrion Crow,Carrion_Crow,Aves,Passeriformes,Corvidae,
Caspian Gull,Caspian_Gull,Aves,Charadriiformes,Laridae,
Charadriidae (unidentified),Charadriidae_(unidentified),Aves,Charadriiformes,Charadriidae,
Ciconiidae (unidentified),Ciconiidae_(unidentified),Aves,Ciconiiformes,Ciconiidae,
Columbidae (unidentified),Columbidae_(unidentified),Aves,Columbiformes,Columbidae,
Common Coot,Common_Coot,Aves,Gruiformes,Rallidae,
Common Crane,Common_Crane,Aves,Gruiformes,Gruidae,
Common Eider,Common_Eider,Aves,Anseriformes,Anatidae,
Common Goldeneye,Common_Goldeneye,Aves,Anseriformes,Anatidae,
Common Guineafowl,Common_Guineafowl,Aves,Galliformes,Numididae,
Common Kestrel,Common_Kestrel,Aves,Falconiformes,Falconidae,
Common magpie,Common_magpie,Aves,Passeriformes,Corvidae,
Common Merganser,Common_Merganser,Aves,Anseriformes,Anatidae,
Common Moorhen,Common_Moorhen,Aves,Gruiformes,Rallidae,
Common Murre,Common_Murre,Aves,Charadriiformes,Alcidae,
Common pheasant,Common_pheasant,Aves,Galliformes,Phasianidae,
Common Pochard,Common_Pochard,Aves,Anseriformes,Anatidae,
Common Raven,Common_Raven,Aves,Passeriformes,Corvidae,
Common Redshank,Common_Redshank,Aves,Charadriiformes,Scolopacidae,
Common Shelduck,Common_Shelduck,Aves,Anseriformes,Anatidae,
Common Starling,Common_Starling,Aves,Passeriformes,Sturnidae,
Common Teal,Common_Teal,Aves,Anseriformes,Anatidae,
Common Tern,Common_Tern,Aves,Charadriiformes,Laridae,
Common Wood-Pigeon,Common_Wood-Pigeon,Aves,Columbiformes,Columbidae,
Corvidae (unidentified),Corvidae_(unidentified),Aves,Passeriformes,Corvidae,
Coscoroba Swan,Coscoroba_Swan,Aves,Anseriformes,Anatidae,
Crested Goshawk,Crested_Goshawk,Aves,Accipitriformes,Accipitridae,
Crested Myna,Crested_Myna,Aves,Passeriformes,Sturnidae,
Crested serpent-eagle,Crested_serpent-eagle,Aves,Accipitriformes,Accipitridae,
Crowned cormorant,Crowned_cormorant,Aves,Suliformes,Phalacrocoracidae,
Cygnus (unidentified),Cygnus_(unidentified),Aves,Anseriformes,Anatidae,
Dalmatian pelican,Dalmatian_pelican,Aves,Pelecaniformes,Pelecanidae,
Demoiselle Crane,Demoiselle_Crane,Aves,Gruiformes,Gruidae,
Dromaiidae (unidentified),Dromaiidae_(unidentified)_emu,Aves,Casuariiformes,Dromaiidae,
Eastern Buzzard,Eastern_Buzzard,Aves,Accipitriformes,Accipitridae,
Eastern grass-owl,Eastern_grass-owl,Aves,Strigiformes,Strigidae,
Egyptian Goose,Egyptian_Goose,Aves,Anseriformes,Anatidae,
Eurasian Blackbird,Eurasian_Blackbird,Aves,Passeriformes,Turdidae,
Eurasian Bullfinch,Eurasian_Bullfinch,Aves,Passeriformes,Fringillidae,
Eurasian buzzard (common buzzard),Eurasian_buzzard_(common_buzzard),Aves,Accipitriformes,Accipitridae,
Eurasian Collared-Dove,Eurasian_Collared-Dove,Aves,Columbiformes,Columbidae,
Eurasian Curlew,Eurasian_Curlew,Aves,Charadriiformes,Scolopacidae,
Eurasian Eagle-Owl,Eurasian_Eagle-Owl,Aves,Strigiformes,Strigidae,
Eurasian Griffon,Eurasian_Griffon,Aves,Accipitriformes,Accipitridae,
