Year,Semester,World_region,Country,Administrative_Division,Disease,Serotype_Subtype_Genotype,Animal_Category,Species,Outbreak_id,New_outbreaks,Susceptible,Cases,Killed_and_disposed_of,Slaughtered,Deaths,Vaccinated
2005,Jul-Dec 2005,Africa,Zimbabwe,Matabeleland North,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N2,Both animal categories,-,-,2,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Zimbabwe,Matabeleland North,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N2,Domestic,Birds,-,-,"16,000",-,-,-,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Anhui,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Both animal categories,-,-,2,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Anhui,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Domestic,Birds,-,-,-,"1,350","294,036",-,"1,350",-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Hubei,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Both animal categories,-,-,3,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Hubei,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Domestic,Birds,-,-,-,"8,844","37,800",-,"6,662",-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Hunan,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Both animal categories,-,-,2,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Hunan,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Domestic,Birds,-,-,-,"1,001","136,787",-,947,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Inner Mongolia,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Both animal categories,-,-,3,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Inner Mongolia,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Domestic,Birds,-,-,-,"3,022","91,100",-,"3,022",-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Jiangxi,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Both animal categories,-,-,1,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Jiangxi,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Domestic,Birds,-,-,-,"3,100","150,065",-,"1,640",-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Liaoning,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Both animal categories,-,-,4,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Liaoning,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Domestic,Birds,-,-,-,"125,010","19,958,500",-,"125,010",-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Ningxia,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Both animal categories,-,-,1,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Ningxia,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Domestic,Birds,-,-,-,294,"99,400",-,230,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Shanxi,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Both animal categories,-,-,1,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Shanxi,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Domestic,Birds,-,-,-,"8,103","67,800",-,"8,103",-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Tibet,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Both animal categories,-,-,1,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Tibet,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Domestic,Birds,-,-,-,133,"78,805",-,133,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Xinjiang,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Both animal categories,-,-,9,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Xinjiang,High pathogenicity avian influenza viruses (poultry) (Inf. with),-,Domestic,Birds,-,-,-,"6,784","1,137,600",-,"5,988",-
