Header	Region	Host	Subtype	Country	HA_Segment_Id	New_Data	Clade	Clade_Group	Isolate_Name	CVV	Outbreak	Outliers	date
AB677899|A/great_crested_grebe/Hyogo/2802E082/2011|H5N1|2011-02-22	Japan Korea	Wild Birds	H5N1	Japan	AB677899	NA	2.3.2.1c	2.3.2.1	A/great_crested_grebe/Hyogo/2802E082/2011	NA	NA	N	2011-02-22
AB716329|A/muscovy_duck/Vietnam/OIE-3509/2011|H5N1|2011-10-09	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB716329	NA	1.1.2	Minor	A/muscovy_duck/Vietnam/OIE-3509/2011	NA	NA	N	2011-10-09
AB824263|A/muscovy_duck/Quang_Ninh/6/2013|H5N1|2013-04-10	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB824263	NA	2.3.2.1c	2.3.2.1	A/muscovy_duck/Quang_Ninh/6/2013	NA	NA	N	2013-04-10
AB824271|A/muscovy_duck/Quang_Ninh/9/2013|H5N1|2013-04-10	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB824271	NA	2.3.2.1c	2.3.2.1	A/muscovy_duck/Quang_Ninh/9/2013	NA	NA	N	2013-04-10
AB824279|A/duck/Quang_Ninh/21/2013|H5N1|2013-04-10	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB824279	NA	2.3.2.1c	2.3.2.1	A/duck/Quang_Ninh/21/2013	NA	NA	N	2013-04-10
AB828589|A/duck/Quang_Ninh/53/2013|H5N1|2013-05-09	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB828589	NA	2.3.2.1c	2.3.2.1	A/duck/Quang_Ninh/53/2013	NA	NA	N	2013-05-09
AB828693|A/muscovy_duck/Quang_Ninh/49/2013|H5N1|2013-05-09	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB828693	NA	2.3.2.1c	2.3.2.1	A/muscovy_duck/Quang_Ninh/49/2013	NA	NA	N	2013-05-09
AB972675|A/muscovy_duck/Vietnam/LBM566/2014|H5N1|2014-01-08	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB972675	NA	2.3.2.1c	2.3.2.1	A/muscovy_duck/Vietnam/LBM566/2014	NA	NA	N	2014-01-08
AB972683|A/muscovy_duck/Vietnam/LBM567/2014|H5N1|2014-01-08	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB972683	NA	2.3.2.1c	2.3.2.1	A/muscovy_duck/Vietnam/LBM567/2014	NA	NA	N	2014-01-08
AB972691|A/duck/Vietnam/LBM568/2014|H5N1|2014-01-08	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB972691	NA	2.3.2.1c	2.3.2.1	A/duck/Vietnam/LBM568/2014	NA	NA	N	2014-01-08
AB972699|A/duck/Vietnam/LBM569/2014|H5N1|2014-01-08	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB972699	NA	2.3.2.1c	2.3.2.1	A/duck/Vietnam/LBM569/2014	NA	NA	N	2014-01-08
